ligand_id,seed,group,docking_score_kcal_mol,heavy_atom_count,ligand_efficiency
883b3243e917e0f2,6,baseline,-9.136,31,0.2947096774193548
9781eba7151d1120,6,baseline,-7.283,30,0.2427666666666667
0f8e754d127b689e,6,baseline,-8.02,31,0.2587096774193548
12d4f7cdd6a92a53,6,baseline,-8.289,28,0.2960357142857143
163bfef7f9290c6a,6,baseline,-8.06,31,0.26
6a35ae662095d781,6,baseline,-8.285,31,0.267258064516129
3291c19128c075f6,6,baseline,-9.608,33,0.2911515151515151
f5ca1a58e2496b75,6,baseline,-9.337,24,0.3890416666666667
9bcfa86803c76cb4,6,baseline,-8.714,27,0.3227407407407408
d6698e4027af79d0,6,baseline,-8.188,31,0.2641290322580645
2ecbcc4cc2712a1f,6,baseline,-8.767,33,0.2656666666666666
aea0f288956a027f,6,baseline,-9.193,32,0.28728125
bdd5f997f8d6ff15,6,baseline,-7.557,26,0.2906538461538461
52538ccba6b34359,6,baseline,-8.076,26,0.3106153846153846
1731c9d9b679b8ab,6,baseline,-9.974,32,0.3116875
bdeb253713c3915c,6,baseline,-8.013,27,0.2967777777777777
e5de99dc31e88e67,6,baseline,-8.557,31,0.2760322580645161
4483d5b6b70a2980,6,baseline,-8.359,27,0.3095925925925926
9788a1b8d93b9b99,6,baseline,-9.688,32,0.30275
5e9fe61eb1f09aa4,6,baseline,-7.921,28,0.2828928571428571
ec557e007d4dc451,6,baseline,-8.806,30,0.2935333333333333
b4e0d24fd4044259,6,baseline,-8.55,31,0.2758064516129032
14ca1208b2ba689b,6,baseline,-8.155,32,0.25484375
54182122b3604443,6,baseline,-6.792,30,0.2264
d9ab8fa0a1d6903c,6,baseline,-8.556,27,0.3168888888888888
30222f10a915b1d1,6,baseline,-7.923,30,0.2641
db24fc5e631a4026,6,baseline,-9.071,29,0.3127931034482759
9cf7dd03646172f0,6,baseline,-8.274,28,0.2955
c6e202ac11d856dd,6,baseline,-8.032,25,0.32128
6c91397283b3a3b9,6,baseline,-8.172,29,0.2817931034482759
